time,service_id,path_nodes,path_links,path_delay,path_loss,bottleneck_node,bottleneck_link
106,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,64.09609,0.006494,edge_3,access_0-edge_3
106,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,66.97236,0.011274,edge_0,access_1-edge_0
106,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,62.82136,0.006882,edge_2,access_0-edge_2
107,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,63.76429,0.000794,edge_3,access_0-edge_3
107,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,66.80079,0.004104,edge_0,edge_0-cloud_0
107,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,65.66523,0.008331,edge_2,access_0-edge_2
108,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,62.60329,0.006523,edge_3,access_0-edge_3
108,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,64.18406,0.00389,edge_0,access_1-edge_0
108,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,67.96945,0.003503,edge_2,edge_2-cloud_0
109,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,65.43259,0.005625,edge_3,access_0-edge_3
109,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,64.45386,0.00532,edge_0,edge_0-cloud_0
109,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,64.16275,0.006444,edge_2,edge_2-cloud_0
110,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,62.53209,0.010983,edge_3,access_0-edge_3
110,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,66.14861,0.008587,edge_0,edge_0-cloud_0
110,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,65.75177,0.003811,edge_2,access_0-edge_2
111,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,61.89293,0.006208,edge_3,edge_3-cloud_0
111,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,68.16313,0.00773,edge_0,access_1-edge_0
111,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,65.26269,0.007077,edge_2,edge_2-cloud_0
112,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,65.52481,0.006724,edge_3,edge_3-cloud_0
112,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,64.80346,0.009978,edge_0,access_1-edge_0
112,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.69077,0.007519,edge_2,access_0-edge_2
113,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,59.57725,0.00734,edge_3,access_0-edge_3
113,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,66.37348,0.009475,edge_0,access_1-edge_0
113,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.75205,0.006954,edge_2,edge_2-cloud_0
